# SPDX-FileCopyrightText: 2026 Meowdia Community
# SPDX-License-Identifier: MIT OR Apache-2.0
# Discovered IANA group ID	Canonical XML group ID
_6lowpan-parameters	_6lowpan-parameters
_6tisch	_6tisch
aaa-parameters	aaa-parameters
abfab-parameters	abfab-parameters
about-uri-tokens	about-uri-tokens
acap-registrations	acap-registrations
access-types	access-types
ace	ace
acl-tls	acl-tls
acme	acme
acp	acp
address-family-numbers	address-family-numbers
address-literal-tags	smtp
adsp-parameters	adsp-parameters
aead-parameters	aead-parameters
aka-version-namespace	aka-version-namespace
alert-urns	alert-urns
alto-protocol	alto-protocol
amtrelay-resource-record	amtrelay-resource-record
ancp	ancp
aodv-parameters	aodv-parameters
apex	apex
arp-parameters	arp-parameters
as-numbers	as-numbers
audio-telephone-event-registry	audio-telephone-event-registry
auth-namespaces	auth-namespaces
authentication-cryptographic-protocol-id	authentication-cryptographic-protocol-id
authentication-method-reference-values	authentication-method-reference-values
auto-response-parameters	auto-response-parameters
auto-submitted-keywords	auto-submitted-keywords
babel	babel
bandwidth-constraints-model-ids	bandwidth-constraints-model-ids
battery-technologies	battery-technologies
beep-parameters	beep-parameters
bfcp-parameters	bfcp-parameters
bfd-parameters	bfd-parameters
bgp-data-collection-communities-std	bgp-data-collection-communities-std
bgp-extended-communities	bgp-extended-communities
bgp-ls-parameters	bgp-ls-parameters
bgp-parameters	bgp-parameters
bgp-spf	bgp-spf
bgp-tunnel-encapsulation	bgp-tunnel-encapsulation
bgp-well-known-communities	bgp-well-known-communities
bier	bier
bmp-parameters	bmp-parameters
bootp-dhcp-parameters	bootp-dhcp-parameters
bpf-instructions	bpf-instructions
brski-parameters	brski-parameters
building-blocks	building-blocks
bundle	bundle
c-dns	c-dns
calipso	calipso
caller-id-plans	caller-id-plans
capability-codes	capability-codes
captive-portals	captive-portals
capwap-parameters	capwap-parameters
card-parameters	card-parameters
cbor-encoded-x509-c509	cbor-encoded-x509-c509
cbor-simple-values	cbor-simple-values
cbor-tags	cbor-tags
ccmp-parameters	ccmp-parameters
ccnx	ccnx
cddl	cddl
cdni-parameters	cdni-parameters
cert-rr-types	cert-rr-types
cfm-oam	cfm-oam
cga-message-types	cga-message-types
channel-binding-types	channel-binding-types
character-sets	character-sets
charset-info	charset-info
charset-reg	charset-reg
cisco-sla-protocol	cisco-sla-protocol
civic-address-types-registry	civic-address-types-registry
clue	clue
cmp	cmp
cnrp-parameters	cnrp-parameters
coap-eap	coap-eap
comp-meth-ids	comp-meth-ids
cont-disp	cont-disp
content-security-policy-directives	content-security-policy-directives
cookie-attribute-names	cookie-attribute-names
cops-parameters	cops-parameters
core-parameters	core-parameters
cose	cose
